state,month,lockdown_period,avg_severity
MS,6,before_lockdown,1.3540216550657387
MT,10,after_lockdown,1.389538885065382
ND,3,after_lockdown,1.2049382716049384
NJ,5,after_lockdown,1.0896467451677405
NJ,12,after_lockdown,0.7523580676397805
NM,7,before_lockdown,1.3454787234042553
NY,2,before_lockdown,1.1053127735506028
OH,8,after_lockdown,1.1269303998307594
OR,4,before_lockdown,1.4140205964385324
OR,5,before_lockdown,1.331897074887729
OR,9,before_lockdown,1.2234654479552438
PA,6,before_lockdown,1.3206580014122447
SD,2,after_lockdown,0.9050991501416431
VT,10,before_lockdown,1.4425182481751824
VT,11,after_lockdown,1.1616847826086956
WY,6,before_lockdown,1.611248149975333
WY,12,before_lockdown,1.3350535168195719
AL,8,before_lockdown,1.2420730192896763
AZ,3,after_lockdown,0.8155290855234134
CO,9,after_lockdown,1.1697174978379936
CO,9,before_lockdown,1.216179119842155
IA,2,after_lockdown,1.0244662988726314
ID,5,before_lockdown,1.431609756097561
IN,5,after_lockdown,1.0962245885769604
KS,3,after_lockdown,1.0667714061272584
KY,12,after_lockdown,0.9744089690470388
LA,11,after_lockdown,0.9118313048400792
MI,11,after_lockdown,1.0249571346923223
MN,11,after_lockdown,0.7807194244604316
MO,2,after_lockdown,0.9044254865369235
MO,2,before_lockdown,1.4318718171655695
MO,6,after_lockdown,1.0920912951167727
MO,11,before_lockdown,1.2644162146731373
MS,7,before_lockdown,1.2975877716742297
NC,7,after_lockdown,1.173880386818139
ND,6,before_lockdown,1.3302300109529026
NE,4,before_lockdown,1.5631558492032647
NM,3,after_lockdown,1.0739182692307692
NV,9,before_lockdown,1.397796817625459
NV,10,before_lockdown,1.4734883720930232
NY,4,before_lockdown,1.0701385452746166
OH,3,after_lockdown,0.6326511364708102
OH,5,before_lockdown,1.2987360901222695
OH,9,after_lockdown,0.9448637702503682
OR,1,before_lockdown,1.484181871689229
PA,10,before_lockdown,1.2217354629805992
SC,3,before_lockdown,1.3134286671880238
SC,6,before_lockdown,1.212082262210797
SC,10,after_lockdown,1.0355430948720268
SD,11,before_lockdown,1.188658057271196
TN,8,before_lockdown,1.2175053660863344
TX,6,after_lockdown,0.9730895290667587
TX,9,after_lockdown,1.0207799299246159
TX,12,after_lockdown,1.0941198874956053
WA,9,after_lockdown,1.0695306506729898
WV,2,before_lockdown,1.5588170865279298
WV,10,after_lockdown,1.2105820105820106
WY,7,after_lockdown,1.4002546689303905
WY,12,after_lockdown,1.2370016320820705
AZ,7,after_lockdown,0.8117850205050723
CA,7,after_lockdown,1.1154467059015858
DC,9,after_lockdown,0.7540467625899281
DE,1,before_lockdown,1.1952406706327745
GA,9,before_lockdown,1.0868214220435022
ID,7,before_lockdown,1.4234216291575383
KY,2,before_lockdown,1.470011273957159
KY,12,before_lockdown,1.1051331804551068
LA,6,before_lockdown,1.0738784067085954
MA,1,before_lockdown,1.2426351450876418
MN,3,before_lockdown,1.3780295344380566
MT,7,before_lockdown,1.6058367196158108
NH,4,before_lockdown,1.3922510406660262
NJ,1,after_lockdown,0.5865795549442452
NM,11,after_lockdown,1.114990969295605
NV,6,before_lockdown,1.553983969825554
NY,8,before_lockdown,1.012521525933277
OH,4,after_lockdown,0.9899124476589265
OH,11,after_lockdown,0.8807137129109863
OH,11,before_lockdown,1.100513259195894
OK,2,after_lockdown,0.8273499324454738
OK,12,after_lockdown,0.9535384615384616
OR,6,before_lockdown,1.2902654867256638
PA,3,after_lockdown,0.5152254914557368
SD,5,after_lockdown,1.2027534418022527
TN,2,before_lockdown,1.244685098313205
UT,4,after_lockdown,1.0427350427350428
UT,5,after_lockdown,0.9691358024691358
UT,8,after_lockdown,0.9849660523763336
VA,9,before_lockdown,1.0878557602695533
WA,1,before_lockdown,1.2898618773721486
WA,7,before_lockdown,1.1762120274802201
WI,12,after_lockdown,0.7957125784284433
WY,8,after_lockdown,1.4613851519681116
AR,8,before_lockdown,1.4115111561866125
AR,9,after_lockdown,1.057774607703281
AZ,3,before_lockdown,1.1192678802347558
AZ,11,before_lockdown,0.9518649193548387
CA,5,after_lockdown,1.1268251727830234
CO,12,after_lockdown,1.1456012544510144
DC,10,before_lockdown,1.074977416440831
DE,2,before_lockdown,1.2532467532467533
FL,4,before_lockdown,1.0207131598709347
FL,11,before_lockdown,0.9379565077970047
ID,12,before_lockdown,1.2048458149779735
IL,8,after_lockdown,1.264221744133687
IN,8,before_lockdown,1.3019091415830546
MA,4,after_lockdown,1.160603204524034
MA,4,before_lockdown,1.1532270790594918
MA,12,before_lockdown,0.9414014130672299
MD,8,after_lockdown,1.3285272914521111
MD,10,before_lockdown,1.093159315931593
ME,1,after_lockdown,1.0775358470525758
ME,10,before_lockdown,1.3149417409184372
MI,8,before_lockdown,1.1840356240861358
MT,5,before_lockdown,1.7536585365853659
MT,10,before_lockdown,1.4198300283286118
NV,1,before_lockdown,1.4883636363636363
NV,11,after_lockdown,0.8592105263157894
NY,11,before_lockdown,0.9260648863385567
NY,12,before_lockdown,0.8357901650940417
OH,12,after_lockdown,0.8335607094133697
OK,1,after_lockdown,0.9832301341589267
OR,3,after_lockdown,1.0225041272047963
RI,3,before_lockdown,1.363370201691607
RI,9,after_lockdown,1.0121273370389086
SC,12,before_lockdown,1.1046868604175195
SD,4,after_lockdown,1.1271353482260185
SD,8,after_lockdown,1.1307875894988066
TN,5,before_lockdown,1.2405197873597165
UT,3,after_lockdown,1.0326508024349752
VT,6,after_lockdown,1.3531073446327684
VT,8,before_lockdown,1.3857758620689655
VT,9,before_lockdown,1.3414481897627966
WI,11,after_lockdown,0.8957771787960467
AL,5,after_lockdown,1.1018103951722795
AL,7,before_lockdown,1.2939018424914397
AL,11,before_lockdown,1.21667628390075
AL,12,after_lockdown,1.117117117117117
CA,12,before_lockdown,0.8745110037808422
CO,11,before_lockdown,1.093552307644364
DC,12,after_lockdown,0.35906602614233046
GA,2,after_lockdown,0.7909972877112456
GA,6,before_lockdown,1.1693196337308347
GA,9,after_lockdown,1.0643029345747776
KY,10,before_lockdown,1.3085128205128205
MA,8,before_lockdown,1.0602869460739275
MD,2,after_lockdown,0.8670632650726462
ME,2,before_lockdown,1.4722222222222223
ME,7,after_lockdown,0.9662009914375845
MI,12,after_lockdown,0.7947719321407354
MS,7,after_lockdown,1.0266326158336374
MT,6,after_lockdown,1.193074501573977
NC,1,after_lockdown,1.148004649360713
ND,4,after_lockdown,0.7575609756097561
ND,7,after_lockdown,0.786265148733015
ND,9,before_lockdown,1.055299539170507
NM,1,before_lockdown,1.3849621873182083
NV,4,after_lockdown,1.373049645390071
NY,9,after_lockdown,0.7822306455318171
NY,12,after_lockdown,0.5111149664042463
OK,6,after_lockdown,1.0677560781187725
OK,8,after_lockdown,0.9661579296615793
PA,9,after_lockdown,1.0123024466663595
RI,10,before_lockdown,1.3484785327219675
TN,6,after_lockdown,1.1772491669751943
TX,2,after_lockdown,0.8200260926288323
TX,3,before_lockdown,1.170360368749418
TX,6,before_lockdown,1.0834117760061472
TX,11,after_lockdown,1.0925885815485368
VT,4,before_lockdown,1.5619479048697622
WI,2,before_lockdown,1.303800838713972
WV,12,before_lockdown,1.3940650925335034
WY,4,after_lockdown,1.1897700408338707
WY,4,before_lockdown,1.6607770090473657
AL,6,after_lockdown,1.169899773682509
AL,9,after_lockdown,0.9428571428571428
AL,11,after_lockdown,1.150790260572405
AR,4,after_lockdown,0.9422319474835886
CA,5,before_lockdown,1.0764255161301541
CO,10,before_lockdown,1.1354565255783835
DC,7,after_lockdown,1.168615984405458
DE,9,before_lockdown,0.9478976234003657
FL,11,after_lockdown,0.7339301894702677
IA,4,after_lockdown,0.9410339256865913
ID,1,before_lockdown,1.6344800625488662
ID,9,before_lockdown,1.3465346534653466
IN,2,before_lockdown,1.4396070393667397
IN,4,before_lockdown,1.4204529949515623
IN,6,after_lockdown,1.182685069008783
KY,8,before_lockdown,1.368208869264734
LA,2,before_lockdown,1.151965265082267
ME,7,before_lockdown,1.2521551724137931
MI,3,after_lockdown,0.9199033037872684
MO,12,after_lockdown,1.033968253968254
NC,1,before_lockdown,1.2137020144431776
NH,1,after_lockdown,0.8947368421052632
NH,1,before_lockdown,1.3903263994588195
NH,2,after_lockdown,0.8824185631414547
