state,month,year,lockdown_period,avg_congestion
SD,3,2020,after_lockdown,1.0870588235294119
SD,5,2018,before_lockdown,1.756578947368421
TN,3,2019,before_lockdown,1.2536068138362593
TN,7,2020,after_lockdown,1.0002945508100147
TX,5,2020,after_lockdown,0.7537027356682349
UT,2,2019,before_lockdown,1.400072463768116
UT,10,2020,after_lockdown,0.9049716803020768
VA,3,2018,before_lockdown,1.3414466761220663
VT,2,2019,before_lockdown,1.529450477130635
VT,7,2021,after_lockdown,1.0909090909090908
WA,2,2021,after_lockdown,1.1683321147128118
WA,9,2019,before_lockdown,0.9520086276624427
WI,5,2019,before_lockdown,1.2878375549508059
WI,8,2018,before_lockdown,1.6263211728605524
WV,5,2018,before_lockdown,1.7217582417582418
WV,8,2021,after_lockdown,1.1466127401415571
WY,5,2018,before_lockdown,1.78743961352657
WY,7,2021,after_lockdown,1.4925
AL,1,2019,before_lockdown,1.1542168674698796
AL,6,2019,before_lockdown,1.1894080996884735
AL,9,2018,before_lockdown,1.3739393067740544
AR,5,2018,before_lockdown,1.7380263580842172
AR,12,2020,after_lockdown,1.2892960462873675
AZ,8,2020,after_lockdown,0.7450130095403296
AZ,9,2020,after_lockdown,0.5972898581410121
CA,1,2019,before_lockdown,1.1224696896864819
CA,6,2020,after_lockdown,0.7384626636436773
CT,7,2018,before_lockdown,1.4884848484848485
CT,7,2020,after_lockdown,1.1720881427072403
DC,6,2019,before_lockdown,0.9461407972858354
DE,7,2021,after_lockdown,1.2641006097560976
FL,9,2021,after_lockdown,0.8426490066225165
FL,10,2020,after_lockdown,0.5739802512536835
GA,12,2021,after_lockdown,1.1566024436090225
IA,3,2019,before_lockdown,1.6504169339320076
IL,2,2020,after_lockdown,0.9060876020786934
IL,5,2020,after_lockdown,0.9321340964840557
IN,9,2020,after_lockdown,1.0547426841574168
KS,1,2019,before_lockdown,1.4170978073417098
KS,6,2020,after_lockdown,0.9067264573991032
KS,8,2021,after_lockdown,1.2919179734620023
KS,11,2021,after_lockdown,1.2371888726207907
KY,1,2020,after_lockdown,0.9985885673959068
KY,9,2018,before_lockdown,1.6093023255813954
KY,9,2021,after_lockdown,1.1605024424284718
LA,2,2019,before_lockdown,1.0088882412938949
LA,11,2019,before_lockdown,0.5168361978253244
MA,7,2019,before_lockdown,0.8278636459877197
MD,1,2020,after_lockdown,0.9846211552888222
MD,3,2021,after_lockdown,0.8046239837398373
MD,10,2018,before_lockdown,1.1864438254410399
ME,7,2020,after_lockdown,1.135064935064935
MI,7,2020,after_lockdown,0.9072336381993111
MI,8,2018,before_lockdown,1.3270705297044192
MO,8,2021,after_lockdown,1.3410433070866141
MS,2,2020,after_lockdown,0.9509906152241918
MS,2,2021,after_lockdown,1.1084809403314015
MS,12,2021,after_lockdown,1.0070921985815602
MT,1,2021,after_lockdown,1.4796954314720812
MT,10,2020,after_lockdown,1.4744
NC,8,2018,before_lockdown,1.3742982293787402
NC,12,2020,after_lockdown,1.1711292200232828
ND,3,2019,before_lockdown,1.6189967982924227
ND,7,2019,before_lockdown,1.1029224904701398
NE,11,2018,before_lockdown,1.5158311345646438
NJ,7,2018,before_lockdown,1.3907212146773513
NM,4,2018,before_lockdown,1.418697165589259
NV,9,2018,before_lockdown,1.6103896103896105
NY,3,2020,after_lockdown,0.7504427100413196
OH,4,2019,before_lockdown,1.2539927036886906
OK,2,2021,after_lockdown,0.9128070175438596
OK,3,2018,before_lockdown,1.6054490413723512
OK,7,2019,before_lockdown,0.7405093704949544
OK,8,2019,before_lockdown,0.729009329187028
OK,11,2019,before_lockdown,0.7618556701030927
OR,5,2020,after_lockdown,1.0523560209424083
OR,6,2020,after_lockdown,1.065406976744186
PA,1,2018,before_lockdown,1.266145853085062
PA,12,2018,before_lockdown,1.2105100463678515
RI,2,2019,before_lockdown,1.2308457711442786
RI,6,2019,before_lockdown,1.0047528517110267
RI,9,2021,after_lockdown,1.2342177493138151
SC,11,2019,before_lockdown,0.9389821476152411
SD,11,2021,after_lockdown,0.964824120603015
TN,6,2020,after_lockdown,1.0414246999612853
TN,10,2020,after_lockdown,0.7434477056634973
TN,11,2020,after_lockdown,0.8039283651068746
TX,3,2021,after_lockdown,0.9223604378182262
TX,6,2021,after_lockdown,1.1250609771752804
TX,10,2020,after_lockdown,0.9467058974030959
UT,1,2022,after_lockdown,0.5555555555555556
VA,6,2021,after_lockdown,1.250408040546345
VA,11,2021,after_lockdown,1.2414312617702448
VT,1,2020,after_lockdown,0.9990295972828724
VT,10,2018,before_lockdown,1.631060606060606
WI,12,2021,after_lockdown,0.7769402799635551
WV,6,2019,before_lockdown,1.4574669187145557
WV,7,2021,after_lockdown,1.1042471042471043
WY,3,2020,after_lockdown,1.1212255772646536
WY,4,2018,before_lockdown,1.738360115368768
WY,4,2020,after_lockdown,1.3028596187175043
WY,7,2018,before_lockdown,1.8231552162849873
AL,10,2021,after_lockdown,1.2511429442243218
AL,11,2020,after_lockdown,1.0907682775712515
AR,1,2019,before_lockdown,1.4100486223662885
AZ,4,2019,before_lockdown,1.1422318197735497
AZ,12,2021,after_lockdown,1.2240820734341253
CA,4,2018,before_lockdown,1.150455476977386
CA,7,2021,after_lockdown,1.3430874936758441
CA,9,2019,before_lockdown,0.7741616088879745
CA,12,2020,after_lockdown,0.5858972243988947
CO,12,2017,before_lockdown,2.0
DC,7,2018,before_lockdown,1.3233424159854676
DC,9,2021,after_lockdown,1.0290872617853561
DC,12,2018,before_lockdown,1.0667420814479638
GA,7,2018,before_lockdown,1.3666360535292574
IA,3,2018,before_lockdown,1.4973019641700842
IA,7,2019,before_lockdown,0.8223989396951623
IA,11,2019,before_lockdown,0.8710170231340026
IL,1,2018,before_lockdown,1.2775116144018583
IL,6,2019,before_lockdown,0.9182929539897755
IL,12,2017,before_lockdown,2.0
IN,6,2018,before_lockdown,1.5701704545454545
IN,6,2020,after_lockdown,1.0285606914693723
KY,5,2019,before_lockdown,1.2160673793326855
KY,9,2020,after_lockdown,0.9424827084091737
KY,12,2020,after_lockdown,0.9404689092762487
LA,2,2021,after_lockdown,0.9252026328673231
LA,11,2018,before_lockdown,1.304242055648472
MA,7,2020,after_lockdown,0.8503369742040436
MA,12,2020,after_lockdown,0.48600987538208323
MD,12,2020,after_lockdown,0.8248031496062992
ME,4,2018,before_lockdown,1.4364069952305247
MI,9,2019,before_lockdown,0.9846876631285888
MI,11,2020,after_lockdown,0.8594300352225425
